Ref,Val,Package,PosX,PosY,Rot,Side
"BZ1","Buzzer","Buzzer_Murata_PKMCS0909E4000-R1",179.100000,-69.700000,0.000000,top
"C1","100n","C_0402_1005Metric",108.300000,-68.100000,90.000000,top
"C2","100n","C_0402_1005Metric",116.000000,-115.475000,-90.000000,top
"C3","100n","C_0402_1005Metric",111.800000,-118.000000,0.000000,top
"C4","4u7","C_0603_1608Metric",185.200000,-113.400000,90.000000,top
"C5","100n","C_0402_1005Metric",183.900001,-113.550000,90.000000,top
"C6","4u7","C_0603_1608Metric",181.500000,-111.350000,0.000000,top
"C7","100n","C_0402_1005Metric",180.950000,-112.700000,0.000000,top
"C8","100n","C_0402_1005Metric",145.500000,-68.500000,0.000000,top
"C9","100n","C_0402_1005Metric",169.000000,-81.000000,0.000000,top
"C10","100n","C_0402_1005Metric",155.000000,-73.500000,0.000000,top
"C11","100n","C_0402_1005Metric",173.750000,-83.500000,0.000000,top
"C12","100n","C_0402_1005Metric",159.500000,-76.000000,180.000000,top
"C13","100n","C_0402_1005Metric",145.500000,-63.500000,180.000000,top
"C14","100n","C_0402_1005Metric",164.250000,-78.500000,180.000000,top
"C15","100n","C_0402_1005Metric",150.250000,-71.000000,180.000000,top
"C16","100n","C_0402_1005Metric",155.000000,-68.500000,0.000000,top
"C17","100n","C_0402_1005Metric",173.750000,-78.500000,0.000000,top
"C18","100n","C_0402_1005Metric",178.250000,-81.000000,0.000000,top
"C19","100n","C_0402_1005Metric",141.000000,-66.000000,0.000000,top
"C20","100n","C_0402_1005Metric",159.500000,-71.000000,180.000000,top
"C21","100n","C_0402_1005Metric",164.250000,-73.500000,180.000000,top
"C22","100n","C_0402_1005Metric",150.250000,-66.000000,180.000000,top
"C23","100n","C_0402_1005Metric",169.000000,-76.000000,180.000000,top
"C24","100n","C_0402_1005Metric",117.500000,-78.500000,0.000000,top
"C25","100n","C_0402_1005Metric",155.000000,-93.750000,0.000000,top
"C26","100n","C_0402_1005Metric",141.000000,-96.250000,0.000000,top
"C27","100n","C_0402_1005Metric",141.000000,-86.000000,0.000000,top
"C28","100n","C_0402_1005Metric",122.000000,-81.000000,180.000000,top
"C29","100n","C_0402_1005Metric",155.000000,-78.500000,180.000000,top
"C30","100n","C_0402_1005Metric",136.250000,-93.750000,180.000000,top
"C31","100n","C_0402_1005Metric",126.750000,-88.750000,180.000000,top
"C32","100n","C_0402_1005Metric",136.250000,-83.500000,0.000000,top
"C33","100n","C_0402_1005Metric",122.000000,-86.000000,0.000000,top
"C34","100n","C_0402_1005Metric",155.000000,-83.500000,0.000000,top
"C35","100n","C_0402_1005Metric",159.500000,-81.000000,0.000000,top
"C36","100n","C_0402_1005Metric",112.750000,-81.000000,0.000000,top
"C37","100n","C_0402_1005Metric",150.250000,-96.250000,0.000000,top
"C38","100n","C_0402_1005Metric",141.000000,-91.250000,0.000000,top
"C39","100n","C_0402_1005Metric",145.500000,-88.750000,0.000000,top
"C40","100n","C_0402_1005Metric",145.500000,-93.750000,180.000000,top
"C41","100n","C_0402_1005Metric",145.500000,-98.750000,180.000000,top
"C42","100n","C_0402_1005Metric",126.750000,-83.500000,180.000000,top
"C43","100n","C_0402_1005Metric",131.500000,-91.250000,180.000000,top
"C44","100n","C_0402_1005Metric",150.250000,-91.250000,180.000000,top
"C45","100n","C_0402_1005Metric",117.500000,-83.500000,180.000000,top
"C46","100n","C_0402_1005Metric",131.515000,-86.000000,180.000000,top
"C47","100n","C_0402_1005Metric",136.250000,-88.750000,180.000000,top
"C48","100n","C_0402_1005Metric",131.500000,-71.000000,0.000000,top
"C49","100n","C_0402_1005Metric",141.000000,-76.000000,0.000000,top
"C50","100n","C_0402_1005Metric",126.750000,-78.500000,0.000000,top
"C51","100n","C_0402_1005Metric",141.000000,-71.000000,0.000000,top
"C52","100n","C_0402_1005Metric",136.250000,-73.500000,180.000000,top
"C53","100n","C_0402_1005Metric",164.250000,-83.500000,180.000000,top
"C54","100n","C_0402_1005Metric",131.500000,-81.000000,180.000000,top
"C55","100n","C_0402_1005Metric",145.500000,-78.500000,180.000000,top
"C56","100n","C_0402_1005Metric",136.250000,-68.500000,0.000000,top
"C57","100n","C_0402_1005Metric",131.500000,-76.000000,0.000000,top
"C58","100n","C_0402_1005Metric",164.250000,-88.750000,0.000000,top
